epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.4985,1.01554,6.92957,1.1235,0.025,0.1875,0.01061,0.00755,0.60269,6.63953,0.87531,6.668e-05,6.668e-05,6.668e-05
2,31.5869,0.86339,6.94893,0.99999,0.80887,0.4375,0.37004,0.31323,0.69495,5.12482,0.90549,0.000147555,0.000147555,0.000147555
3,33.8234,0.6619,3.53809,0.91088,0.84531,0.5,0.54408,0.48103,0.51927,5.38841,0.8647,0.000225678,0.000225678,0.000225678
4,36.0255,0.65833,2.16035,0.90069,0.4206,1,0.58176,0.51016,0.54583,3.74493,0.86297,0.000301052,0.000301052,0.000301052
5,38.6096,0.66693,1.76213,0.90556,0.937,0.4375,0.58064,0.49347,0.65965,2.4966,0.88166,0.000373675,0.000373675,0.000373675
6,41.4055,0.65735,1.55578,0.89674,0.44172,0.84114,0.69792,0.58748,0.69563,2.35369,0.87751,0.000443547,0.000443547,0.000443547
7,43.5889,0.60475,1.39704,0.87401,0.59011,0.99424,0.62889,0.59673,0.49372,2.00694,0.84615,0.000510669,0.000510669,0.000510669
8,45.6885,0.67513,1.22873,0.8745,0.94233,0.5,0.52514,0.45475,0.55946,1.76823,0.8569,0.00057504,0.00057504,0.00057504
9,48.0394,0.7236,1.22431,0.90214,0.39352,0.5,0.45592,0.36265,0.75221,1.69979,0.93831,0.000636661,0.000636661,0.000636661
10,50.1643,0.73503,1.07305,0.91188,0.44711,0.8746,0.50014,0.40519,0.68121,1.84111,0.8651,0.000695531,0.000695531,0.000695531
11,52.4203,0.75019,1.01133,0.92452,0.45008,0.8125,0.34106,0.27108,0.88312,2.8521,0.91402,0.00075165,0.00075165,0.00075165
12,55.5167,0.75748,1.03845,0.94152,0.4372,0.43538,0.4417,0.35611,0.83567,1.87108,0.96361,0.000805019,0.000805019,0.000805019
13,57.5797,0.67903,0.8449,0.90433,0.42404,0.375,0.42778,0.31987,0.92223,1.74516,0.96671,0.000855638,0.000855638,0.000855638
14,59.5833,0.66455,0.75835,0.88273,0.45152,0.3125,0.40132,0.3179,0.75201,3.26277,0.92256,0.000903506,0.000903506,0.000903506
